"NAME","type","zone","protection_level","threat_status","condition","efz_ha"
"Steenbras","Cool Temperate Small Fluvially Dominated","Cool Temperate","Well Protected","Vulnerable","Near-natural",4
"Rooiels","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Natural",21.6
"Buffels (Oos)","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Near-natural",35.8
"Palmiet","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Moderately modified",44.2
"Bot/Kleinmond","Cool Temperate Estuarine Lake","Cool Temperate","Poorly Protected","Endangered","Moderately modified",2345.9
"Onrus","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Heavily modified",30.8
"Klein","Cool Temperate Estuarine Lake","Cool Temperate","Poorly Protected","Endangered","Moderately modified",2065.5
"Uilkraals","Cool Temperate Predominantly Open","Cool Temperate","Not Protected","Endangered","Heavily modified",747.7
"Ratel","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Near-natural",35.9
"Heuningnes","Warm Temperate Estuarine Lake","Warm Temperate","Moderately Protected","Endangered","Heavily modified",10993.7
"Klipdrifsfontein","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",6.7
"Breede","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",2257.6
"Duiwenhoks","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",441.4
"Goukou","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",438.7
"Gouritz","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",1099.7
"Blinde","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",19.9
"Tweekuilen","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Severely / critically modified ",23.2
"Gericke","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Severely / critically modified ",8.7
"Hartenbos","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",306.1
"Klein Brak","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",1021.7
"Groot Brak","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",318.1
"Maalgate","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",34.4
"Gwaing","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",21.8
"Kaaimans","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",40.6
"Touw/Wilderness","Warm Temperate Estuarine Lake","Warm Temperate","Moderately Protected","Endangered","Moderately modified",1180.4
"Swartvlei","Warm Temperate Estuarine Lake","Warm Temperate","Moderately Protected","Endangered","Near-natural",2168.2
"Goukamma","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",299.2
"Knysna","Warm Temperate Estuarine Bay","Warm Temperate","Moderately Protected","Vulnerable","Near-natural",3010.6
"Noetsie","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",50.6
"Piesang","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",87.3
"Keurbooms","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",1623.8
"Matjies","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",12.1
"Sout (Oos)","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Natural",24.1
"Groot (Wes)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",100
"Bloukrans","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",15.3
"Lottering","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",11.2
"Elandsbos","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",22.1
"Storms","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",12.4
"Elands","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Near-natural",31.1
"Groot (Oos)","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",30.3
"Tsitsikamma","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",67.4
"Klipdrif (Oos)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",66.8
"Slang","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",42.8
"Kromme","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",755.5
"Seekoei","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",322.4
"Kabeljous","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",311.9
"Gamtoos","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",2133.4
"Van Stadens","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",101.8
"Maitland","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",67.6
"Baakens","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Severely / critically modified ",13.5
"Papkuils","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Severely / critically modified ",80.4
"Swartkops","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",2861
"Coega (Ngqurha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Severely / critically modified ",443.5
"Sundays","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",824
"Boknes","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",47.5
"Bushmans","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",888.8
"Kariega","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",559
"Grant's","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",16.3
"Kasouga","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",247.6
"Kowie","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",484.9
"Rufane","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",24.7
"Riet","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",40.3
"West Kleinemonde","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",224.2
"East Kleinemonde","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",100.9
"Great Fish","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",519.9
"Old Woman’s","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",23.3
"Mpekweni","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",83.1
"Mtati (Mthathi)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",142.1
"Mgwalana","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",216.9
"Bira (Bhirha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",270.6
"Gqutywa","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",105.4
"Ngculura (Ngculurha)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",36.6
"Mtana","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",81.2
"Keiskamma","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",1402
"Nqinisa","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",54.3
"Kiwane (Khiwane)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",87
"Tyolomnqa","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",207.6
"Shelbertsstroom","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",15
"Lilyvale","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",33.7
"Ross' Creek","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",13
"Ncera (Ncerha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",77.9
"Mlele","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",20.2
"Mcantsi","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",31.8
"Gxulu","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",106.6
"Goda","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",51.9
"Hlozi","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",40.9
"Hickman's","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",25.9
"Buffalo","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",137.5
"Blind","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Heavily modified",14.3
"Hlaze (iHlanze)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Heavily modified",7.9
"Nahoon","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",178.5
"Qinira (Quinirha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",110.7
"Gqunube","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",176.3
"Kwelera (Kwelerha)","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",121.6
"Bulura (Bulurha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",135.4
"Cunge","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",8.7
"Cintsa","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",122.6
"Cefane","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",176.5
"Kwenxura (Kwenxurha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",126.1
"Nyara (Nyarha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",55.3
"Imtwendwe (Mtwendwe)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",15.9
"Haga-haga","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",25.5
"Mtendwe","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",17.1
"Quko","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",102.1
"Morgan","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",83.5
"Cwili","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",14.7
"Great Kei","Warm Temperate Large Fluvially Dominated","Warm Temperate","Not Protected","Vulnerable","Moderately modified",572.6
"Gxara (Gxarha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",68.5
"Ngogwane","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",22.5
"Qolora (Qolorha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",69.3
"Ncizele","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",22.9
"Timba","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",9.2
"Kobonqaba (Khobonqaba)","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",115.1
"Nxaxo/Ngqusi","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",269.5
"Cebe","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",82.1
"Gqunqe","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",79.1
"Zalu","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",68.8
"Ngqwara (Ngqwarha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",78.9
"Sihlontlweni","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",55.2
"Nebelele","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",29.8
"Qora (Qhorha)","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",133.9
"Jujura (Jujurha)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",30.3
"Ngadla","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",40.7
"Shixini","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Natural",116.4
"Beechamwood","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",20.1
"Kwazlelitsha (Kwazwedala)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",32.1
"Kwa-Goqo","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",30.9
"Ku-Nocekedwa","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",33.7
"Nqabara/Nqabarana","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",307.8
"Ngomane (East)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",25.9
"Ngoma/Kobule","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",88.8
"Mendu","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",107.4
"Mendwana","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Natural",27.8
"Mbashe","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Moderately modified",469.8
"Ku-Mpenzu","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",31.7
"Ku-Bhula (Mbhanyana)","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",58.7
"Kwa-Suku","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",21.4
"Ntlonyane","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",89.7
"Nkanya","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",62.1
"Sundwana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",25.2
"Xora","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",261.5
"Bulungula","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",67.4
"Ku-Amanzimuzama","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",13
"Nqakanqa","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",16.9
"Mdikana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",17
"Mncwasa","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",116.7
"Mpako","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",51.5
"Nenga","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",33.6
"Mapuzi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",12.2
"Mtata","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",545.6
"Thsani","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",12.6
"Mdumbi","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",254.9
"Lwandilana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",49.6
"Lwandile","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",100.5
"Mtakatye","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",247.8
"Hluleka","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",30.1
"Mnenu","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",197
"Mtonga","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",56.2
"Mpande","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",51.3
"Sinangwana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",123.1
"Mngazana","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",770.6
"Mngazi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",434.3
"Gxwaleni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",16.1
"Bulolo","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",13.2
"Mtumbane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",15.5
"Mzimvubu","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Near-natural",842.7
"Ntlupeni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",30.8
"Nkodusweni","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",100
"Mntafufu","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",277.5
"Ingo","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",34.7
"Mzintlava","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",108.9
"Mzimpunzi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",67.8
"Kwanyambalala","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",24.8
"Mbotyi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",64.1
"Mkozi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",38.1
"Sikatsha","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",13.3
"Lupatana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",14.5
"Mkweni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",15.4
"Msikaba","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",142
"Mgwegwe","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",19.4
"Mgwetyana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",22.1
"Mtentu","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",92.8
"Sikombe","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",102.1
"Kwanyana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",57.8
"Mtolane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",46.5
"Mnyameni","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",87.5
"Mpahlanyana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",24.1
"Mpahlane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",35.2
"Mzamba","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",110.7
"Mtentwana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",33.4
"uMthavuna","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",160
"iSolwane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",18.7
"iSandlu","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",32.4
"uMbhoyibhoyi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",20.2
"uMuntongazi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",11.5
"iKhandalendlovu","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",31.6
"iMpenjani","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",100.8
"uMhlangomkhulu (South) (Umhlangankulu)","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",45.5
"iKhaba","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",26.2
"iMbizana","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",95.9
"iMvutshini","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",10.7
"iBilanhlonhlo","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",23.6
"uVuzana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",9.8
"iKongeni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Severely / critically modified ",44.8
"uVunguza","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",14.5
"oHlangeni","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",70.3
"iZotsha","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",104
"iBhobhoyi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",47.9
"uMbango","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Severely / critically modified ",36.7
"uMzimkhulu","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",402.9
"uMthente","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",102.5
"uMhlangomkhulu (North) (Mhlangamkulu)","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",27.9
"iDombe","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",27.1
"iKhoshwana","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",23.1
"iNjambili","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",67.4
"uMzumbe","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",291.2
"uMhlabashana","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",32.5
"uMhlungwa","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",43.8
"uMfazezala","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",20.9
