"","Estuary name","Estuary type","Protection level"
"104","Ross' Creek","Warm Temperate Small Temporarily Closed","Moderately Protected"
"105","Ncera (Ncerha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"106","Mlele","Warm Temperate Small Temporarily Closed","Moderately Protected"
"107","Mcantsi","Warm Temperate Small Temporarily Closed","Moderately Protected"
"108","Gxulu","Warm Temperate Large Temporarily Closed","Poorly Protected"
"109","Goda","Warm Temperate Large Temporarily Closed","Poorly Protected"
"110","Hlozi","Warm Temperate Small Temporarily Closed","Moderately Protected"
"111","Hickman's","Warm Temperate Small Temporarily Closed","Moderately Protected"
"112","Buffalo","Warm Temperate Predominantly Open","Poorly Protected"
"113","Blind","Warm Temperate Small Temporarily Closed","Moderately Protected"
"114","Hlaze (iHlanze)","Warm Temperate Small Temporarily Closed","Moderately Protected"
"115","Nahoon","Warm Temperate Predominantly Open","Poorly Protected"
"116","Qinira (Quinirha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"117","Gqunube","Warm Temperate Predominantly Open","Poorly Protected"
"118","Kwelera (Kwelerha)","Warm Temperate Predominantly Open","Poorly Protected"
"119","Bulura (Bulurha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"120","Cunge","Warm Temperate Small Temporarily Closed","Moderately Protected"
"121","Cintsa","Warm Temperate Large Temporarily Closed","Poorly Protected"
"122","Cefane","Warm Temperate Large Temporarily Closed","Poorly Protected"
"123","Kwenxura (Kwenxurha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"124","Nyara (Nyarha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"125","Imtwendwe (Mtwendwe)","Warm Temperate Small Temporarily Closed","Moderately Protected"
"126","Haga-haga","Warm Temperate Small Temporarily Closed","Moderately Protected"
"127","Mtendwe","Warm Temperate Small Temporarily Closed","Moderately Protected"
"128","Quko","Warm Temperate Large Temporarily Closed","Poorly Protected"
"129","Morgan","Warm Temperate Large Temporarily Closed","Poorly Protected"
"130","Cwili","Warm Temperate Small Temporarily Closed","Moderately Protected"
"131","Great Kei","Warm Temperate Large Fluvially Dominated","Not Protected"
"132","Gxara (Gxarha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"133","Ngogwane","Warm Temperate Small Temporarily Closed","Moderately Protected"
"134","Qolora (Qolorha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"135","Ncizele","Warm Temperate Small Temporarily Closed","Moderately Protected"
"136","Timba","Warm Temperate Small Temporarily Closed","Moderately Protected"
"137","Kobonqaba (Khobonqaba)","Warm Temperate Predominantly Open","Poorly Protected"
"138","Nxaxo/Ngqusi","Warm Temperate Large Temporarily Closed","Poorly Protected"
"139","Cebe","Warm Temperate Large Temporarily Closed","Poorly Protected"
"140","Gqunqe","Warm Temperate Large Temporarily Closed","Poorly Protected"
"141","Zalu","Warm Temperate Small Temporarily Closed","Moderately Protected"
"142","Ngqwara (Ngqwarha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"143","Sihlontlweni","Warm Temperate Small Temporarily Closed","Moderately Protected"
"144","Nebelele","Warm Temperate Small Temporarily Closed","Moderately Protected"
"145","Qora (Qhorha)","Warm Temperate Predominantly Open","Poorly Protected"
"146","Jujura (Jujurha)","Warm Temperate Small Temporarily Closed","Moderately Protected"
"147","Ngadla","Warm Temperate Small Temporarily Closed","Moderately Protected"
"148","Shixini","Warm Temperate Predominantly Open","Poorly Protected"
"149","Beechamwood","Warm Temperate Small Temporarily Closed","Moderately Protected"
"150","Kwazlelitsha (Kwazwedala)","Warm Temperate Small Temporarily Closed","Moderately Protected"
"151","Kwa-Goqo","Warm Temperate Small Temporarily Closed","Moderately Protected"
"152","Ku-Nocekedwa","Warm Temperate Small Temporarily Closed","Moderately Protected"
"153","Nqabara/Nqabarana","Warm Temperate Predominantly Open","Poorly Protected"
"154","Ngomane (East)","Warm Temperate Small Temporarily Closed","Moderately Protected"
"155","Ngoma/Kobule","Warm Temperate Small Temporarily Closed","Moderately Protected"
"156","Mendu","Warm Temperate Large Temporarily Closed","Poorly Protected"
"157","Mendwana","Warm Temperate Predominantly Open","Poorly Protected"
"158","Mbashe","Subtropical Large Fluvially Dominated","Poorly Protected"
"159","Ku-Mpenzu","Subtropical Small Temporarily Closed","Moderately Protected"
"160","Ku-Bhula (Mbhanyana)","Subtropical Small Temporarily Closed","Moderately Protected"
"161","Kwa-Suku","Subtropical Large Temporarily Closed","Poorly Protected"
"162","Ntlonyane","Subtropical Large Temporarily Closed","Poorly Protected"
"163","Nkanya","Subtropical Large Temporarily Closed","Poorly Protected"
"164","Sundwana","Subtropical Small Temporarily Closed","Moderately Protected"
"165","Xora","Subtropical Predominantly Open","Poorly Protected"
"166","Bulungula","Subtropical Large Temporarily Closed","Poorly Protected"
"167","Ku-Amanzimuzama","Subtropical Small Temporarily Closed","Moderately Protected"
"168","Nqakanqa","Subtropical Small Temporarily Closed","Moderately Protected"
"169","Mdikana","Subtropical Small Temporarily Closed","Moderately Protected"
"170","Mncwasa","Subtropical Large Temporarily Closed","Poorly Protected"
"171","Mpako","Subtropical Small Temporarily Closed","Moderately Protected"
"172","Nenga","Subtropical Small Temporarily Closed","Moderately Protected"
"173","Mapuzi","Subtropical Large Temporarily Closed","Poorly Protected"
"174","Mtata","Subtropical Predominantly Open","Poorly Protected"
"175","Thsani","Subtropical Small Temporarily Closed","Moderately Protected"
"176","Mdumbi","Subtropical Predominantly Open","Poorly Protected"
"177","Lwandilana","Subtropical Small Temporarily Closed","Moderately Protected"
"178","Lwandile","Subtropical Large Temporarily Closed","Poorly Protected"
"179","Mtakatye","Subtropical Predominantly Open","Poorly Protected"
"180","Hluleka","Subtropical Small Temporarily Closed","Moderately Protected"
"181","Mnenu","Subtropical Large Temporarily Closed","Poorly Protected"
"182","Mtonga","Subtropical Large Temporarily Closed","Poorly Protected"
"183","Mpande","Subtropical Large Temporarily Closed","Poorly Protected"
"184","Sinangwana","Subtropical Small Temporarily Closed","Moderately Protected"
"185","Mngazana","Subtropical Predominantly Open","Poorly Protected"
"186","Mngazi","Subtropical Large Temporarily Closed","Poorly Protected"
"187","Gxwaleni","Subtropical Small Temporarily Closed","Moderately Protected"
"188","Bulolo","Subtropical Small Temporarily Closed","Moderately Protected"
"189","Mtumbane","Subtropical Small Temporarily Closed","Moderately Protected"
"190","Mzimvubu","Subtropical Large Fluvially Dominated","Poorly Protected"
"191","Ntlupeni","Subtropical Small Temporarily Closed","Moderately Protected"
"192","Nkodusweni","Subtropical Large Temporarily Closed","Poorly Protected"
"193","Mntafufu","Subtropical Predominantly Open","Poorly Protected"
"194","Ingo","Subtropical Small Temporarily Closed","Moderately Protected"
"195","Mzintlava","Subtropical Predominantly Open","Poorly Protected"
"196","Mzimpunzi","Subtropical Small Temporarily Closed","Moderately Protected"
"197","Kwanyambalala","Subtropical Small Temporarily Closed","Moderately Protected"
"198","Mbotyi","Subtropical Small Temporarily Closed","Moderately Protected"
"199","Mkozi","Subtropical Small Temporarily Closed","Moderately Protected"
"200","Sikatsha","Subtropical Small Temporarily Closed","Moderately Protected"
"201","Lupatana","Subtropical Small Temporarily Closed","Moderately Protected"
"202","Mkweni","Subtropical Small Temporarily Closed","Moderately Protected"
"203","Msikaba","Subtropical Predominantly Open","Poorly Protected"
"204","Mgwegwe","Subtropical Small Temporarily Closed","Moderately Protected"
"205","Mgwetyana","Subtropical Small Temporarily Closed","Moderately Protected"
"206","Mtentu","Subtropical Predominantly Open","Poorly Protected"
"207","Sikombe","Subtropical Small Temporarily Closed","Moderately Protected"
"208","Kwanyana","Subtropical Small Temporarily Closed","Moderately Protected"
"209","Mtolane","Subtropical Small Temporarily Closed","Moderately Protected"
"210","Mnyameni","Subtropical Large Temporarily Closed","Poorly Protected"
"211","Mpahlanyana","Subtropical Small Temporarily Closed","Moderately Protected"
"212","Mpahlane","Subtropical Small Temporarily Closed","Moderately Protected"
"213","Mzamba","Subtropical Predominantly Open","Poorly Protected"
"214","Mtentwana","Subtropical Small Temporarily Closed","Moderately Protected"
"215","uMthavuna","Subtropical Large Temporarily Closed","Poorly Protected"
"216","iSolwane","Subtropical Small Temporarily Closed","Moderately Protected"
"217","iSandlu","Subtropical Small Temporarily Closed","Moderately Protected"
"218","uMbhoyibhoyi","Subtropical Small Temporarily Closed","Moderately Protected"
"219","uMuntongazi","Subtropical Small Temporarily Closed","Moderately Protected"
"220","iKhandalendlovu","Subtropical Small Temporarily Closed","Moderately Protected"
"221","iMpenjani","Subtropical Large Temporarily Closed","Poorly Protected"
"222","uMhlangomkhulu (South) (Umhlangankulu)","Subtropical Large Temporarily Closed","Poorly Protected"
"223","iKhaba","Subtropical Small Temporarily Closed","Moderately Protected"
"224","iMbizana","Subtropical Large Temporarily Closed","Poorly Protected"
"225","iMvutshini","Subtropical Small Temporarily Closed","Moderately Protected"
"226","iBilanhlonhlo","Subtropical Small Temporarily Closed","Moderately Protected"
"227","uVuzana","Subtropical Small Temporarily Closed","Moderately Protected"
"228","iKongeni","Subtropical Small Temporarily Closed","Moderately Protected"
"229","uVunguza","Subtropical Small Temporarily Closed","Moderately Protected"
"230","oHlangeni","Subtropical Large Temporarily Closed","Poorly Protected"
"231","iZotsha","Subtropical Large Temporarily Closed","Poorly Protected"
"232","iBhobhoyi","Subtropical Small Temporarily Closed","Moderately Protected"
"233","uMbango","Subtropical Small Temporarily Closed","Moderately Protected"
"234","uMzimkhulu","Subtropical Predominantly Open","Poorly Protected"
"235","uMthente","Subtropical Large Temporarily Closed","Poorly Protected"
"236","uMhlangomkhulu (North) (Mhlangamkulu)","Subtropical Large Temporarily Closed","Poorly Protected"
"237","iDombe","Subtropical Large Temporarily Closed","Poorly Protected"
"238","iKhoshwana","Subtropical Large Temporarily Closed","Poorly Protected"
"239","iNjambili","Subtropical Small Temporarily Closed","Moderately Protected"
"240","uMzumbe","Subtropical Large Temporarily Closed","Poorly Protected"
"241","uMhlabashana","Subtropical Large Temporarily Closed","Poorly Protected"
"242","uMhlungwa","Subtropical Large Temporarily Closed","Poorly Protected"
"243","uMfazezala","Subtropical Large Temporarily Closed","Poorly Protected"
"244","uMakhosi","Subtropical Small Temporarily Closed","Moderately Protected"
"245","uMnamfu","Subtropical Small Temporarily Closed","Moderately Protected"
"246","uMthwalume","Subtropical Large Temporarily Closed","Poorly Protected"
"247","uMvuzi","Subtropical Large Temporarily Closed","Poorly Protected"
"248","iFafa","Subtropical Large Temporarily Closed","Poorly Protected"
"249","uMdesingane","Subtropical Small Temporarily Closed","Moderately Protected"
"250","iSezela","Subtropical Large Temporarily Closed","Poorly Protected"
"251","uMkhumbane","Subtropical Small Temporarily Closed","Moderately Protected"
"252","iNkomba","Subtropical Small Temporarily Closed","Moderately Protected"
"253","uMuziwezinto","Subtropical Large Temporarily Closed","Poorly Protected"
"254","uMzimayi","Subtropical Small Temporarily Closed","Moderately Protected"
"255","Rocky Bay","Subtropical Small Temporarily Closed","Moderately Protected"
"256","uMphambanyoni","Subtropical Small Temporarily Closed","Moderately Protected"
"257","aMahlongwa","Subtropical Small Temporarily Closed","Moderately Protected"
"258","uMahlongwane","Subtropical Large Temporarily Closed","Poorly Protected"
"259","uMkhomazi","Subtropical Predominantly Open","Poorly Protected"
"260","iNgane","Subtropical Small Temporarily Closed","Moderately Protected"
"261","uMgababa","Subtropical Large Temporarily Closed","Poorly Protected"
"262","uMsimbazi","Subtropical Large Temporarily Closed","Poorly Protected"
"263","iLovu","Subtropical Large Temporarily Closed","Poorly Protected"
"264","aManzanamtoti","Subtropical Small Temporarily Closed","Moderately Protected"
"265","aManzimtoti","Subtropical Large Temporarily Closed","Poorly Protected"
"266","iZimbokodo","Subtropical Large Temporarily Closed","Poorly Protected"
"267","iSiphingo","Subtropical Predominantly Open","Poorly Protected"
"268","Durban Bay","Subtropical Estuarine Bay","Not Protected"
"269","uMngeni","Subtropical Predominantly Open","Poorly Protected"
"270","uMhlanga","Subtropical Large Temporarily Closed","Poorly Protected"
"271","uMdloti","Subtropical Large Temporarily Closed","Poorly Protected"
"272","uThongathi","Subtropical Large Temporarily Closed","Poorly Protected"
"273","uMhlali","Subtropical Large Temporarily Closed","Poorly Protected"
"274","Bob’s Stream","Subtropical Small Temporarily Closed","Moderately Protected"
"275","uSetheni","Subtropical Small Temporarily Closed","Moderately Protected"
"276","uMvoti","Subtropical Large Fluvially Dominated","Poorly Protected"
"277","uMdlotane","Subtropical Large Temporarily Closed","Poorly Protected"
"278","iNonoti","Subtropical Large Temporarily Closed","Poorly Protected"
"279","iZinkwazi","Subtropical Large Temporarily Closed","Poorly Protected"
"280","uThukela","Subtropical Large Fluvially Dominated","Poorly Protected"
"281","aMatigulu/iNyoni","Subtropical Predominantly Open","Poorly Protected"
"282","iSiyaya","Subtropical Small Temporarily Closed","Moderately Protected"
"283","uMlalazi","Subtropical Predominantly Open","Poorly Protected"
"284","uMhlathuze","Subtropical Estuarine Lake","Moderately Protected"
"285","Richards Bay","Subtropical Estuarine Lake","Moderately Protected"
"286","iNhlabane","Subtropical Estuarine Lake","Moderately Protected"
"287","iMfolozi/uMsunduze","Subtropical Large Fluvially Dominated","Poorly Protected"
"288","St Lucia","Subtropical Estuarine Lake","Moderately Protected"
"289","uMgobezeleni","Tropical Estuarine Lake","Moderately Protected"
"290","Kosi","Tropical Estuarine Lake","Moderately Protected"
