"type","extent","zone","EPL","RLE","realm"
"Kosi Coral Community",8.04203670348581,"Photic coral reefs","WP","VU","marine"
"Leadsman Coral Community",12.4926190922383,"Photic coral reefs","WP","VU","marine"
"Namaqua Exposed Rocky Shore",42.4888492854475,"Rocky shores","PP","EN","marine"
"Namaqua Kelp Forest",7.36009090470201,"Kelp forests","PP","VU","marine"
"Namaqua Mid Shelf Fossils",20.0678412702008,"Mesophotic and sub-photic rocky shelves","WP","LC","marine"
"Namaqua Mixed Shore",60.6566241566782,"Rocky shores","PP","EN","marine"
"Namaqua Muddy Mid Shelf Mosaic",11762.5068676088,"Muddy shelves","PP","LC","marine"
"Namaqua Muddy Sands",12168.9416239687,"Muddy shelves","NP","LC","marine"
"Namaqua Sandy Inner Shelf",760.246322097607,"Sandy shelves","MP","LC","marine"
"Namaqua Sandy Mid Shelf",2853.16084359544,"Sandy shelves","PP","LC","marine"
"Namaqua Sheltered Rocky Shore",1.19589222629092,"Rocky shores","PP","EN","marine"
"Namaqua Very Exposed Rocky Shore",3.14966155728105,"Rocky shores","PP","EN","marine"
"Natal Boulder Shore",0.273372386433886,"Boulder/cobble shores","WP","VU","marine"
"Natal Deep Shelf Edge",1377.22208854261,"Sandy shelves","MP","LC","marine"
"Natal Delagoa Dissipative Intermediate Sandy Shore",32.8521649933219,"Sandy shores","WP","LC","marine"
"Natal Delagoa Dissipative Sandy Shore",0.705740773370085,"Sandy shores","NP","NT","marine"
"Natal Delagoa Intermediate Sandy Shore",52.1177098499427,"Sandy shores","WP","NT","marine"
"Natal Delagoa Reflective Sandy Shore",9.43567918033413,"Sandy shores","WP","EN","marine"
"Natal Exposed Rocky Shore",31.4363868939502,"Rocky shores","WP","NT","marine"
"Natal Lower Canyon",1308.25045777874,"Canyons","MP","LC","marine"
"Natal Mixed Shore",69.4813529609774,"Rocky shores","MP","VU","marine"
"Natal Upper Canyon",256.190865736934,"Canyons","WP","LC","marine"
"Natal Very Exposed Rocky Shore",0.958760010181768,"Rocky shores","MP","NT","marine"
"Orange Cone Inner Shelf Mud Reef Mosaic",511.019418656815,"Muddy shelves","NP","CR","marine"
"Orange Cone Muddy Mid Shelf",1925.36359377494,"Muddy shelves","NP","EN","marine"
"Port St Johns Inner Shelf Mosaic",48.5420773199831,"Photic rocky reefs","MP","VU","marine"
"Port St Johns Muddy Mid Shelf",124.793408782948,"Muddy shelves","MP","VU","marine"
"Port St Johns Muddy Shelf Edge",129.382199805529,"Muddy shelves","MP","VU","marine"
"Protea Mid Shelf Reef Complex",15.5395334303534,"Mesophotic and sub-photic rocky shelves","MP","EN","marine"
"Sodwana Coral Community",5.96441864350722,"Photic coral reefs","WP","VU","marine"
"South Atlantic Productive Margin Water",27747.3473158703,"Pelagic ocean waters","PP","VU","marine"
"South Atlantic-Benguela Transitional Waters",63591.6609561783,"Pelagic ocean waters","NP","LC","marine"
"Southeast Atlantic Lower Slope",86412.8879522145,"Slopes","NP","LC","marine"
"Southeast Atlantic Mid Slope",18140.1341054933,"Slopes","NP","LC","marine"
"Southeast Atlantic Seamount",1576.25073288586,"Seamounts","WP","LC","marine"
"Southeast Atlantic Slope Seamount",887.913638748351,"Seamounts","WP","LC","marine"
"Southeast Atlantic Upper Slope",15242.0935369506,"Slopes","PP","LC","marine"
"Southern Benguela Dissipative Intermediate Sandy Shore",51.4668402099681,"Sandy shores","MP","LC","marine"
"Southern Benguela Dissipative Sandy Shore",26.1798968861555,"Sandy shores","WP","LC","marine"
"Southern Benguela Intermediate Sandy Shore",32.3365615717474,"Sandy shores","PP","NT","marine"
"Southern Benguela Muddy Outer Shelf Mosaic",5574.43236684411,"Muddy shelves","NP","LC","marine"
"Southern Benguela Muddy Shelf Edge",814.044755511982,"Muddy shelves","PP","EN","marine"
"Southern Benguela Outer Shelf Mosaic",19508.7097186023,"Mesophotic and sub-photic rocky shelves","NP","LC","marine"
"Southern Benguela Reflective Sandy Shore",10.543340329831,"Sandy shores","PP","EN","marine"
"Southern Benguela Rocky Shelf Edge",2380.68802149114,"Mesophotic and sub-photic rocky shelves","PP","VU","marine"
"Southern Benguela Sandy Outer Shelf",36057.0725766166,"Sandy shelves","PP","LC","marine"
"Southern Benguela Sandy Shelf Edge",7397.87066782645,"Sandy shelves","PP","VU","marine"
"Southern Benguela Shelf Edge Mosaic",2181.79251150682,"Mesophotic and sub-photic rocky shelves","NP","LC","marine"
"Southern KZN Inner Shelf Mosaic",258.868157698594,"Photic rocky reefs","PP","EN","marine"
"Southern KZN Mid Shelf Mosaic",989.630326080083,"Mesophotic and sub-photic rocky shelves","MP","EN","marine"
"Southern KZN Shelf Edge Mosaic",669.562722421381,"Mesophotic and sub-photic rocky shelves","WP","NT","marine"
"Southwest Indian Lower Slope",197988.126366343,"Slopes","NP","LC","marine"
"Southwest Indian Mid Slope",78270.7167705021,"Slopes","PP","LC","marine"
"Southwest Indian Seamount",2072.41259062144,"Seamounts","WP","LC","marine"
"Southwest Indian Slope Seamount",1614.36086629061,"Seamounts","NP","LC","marine"
"Southwest Indian Upper Slope",17527.1727092983,"Slopes","MP","LC","marine"
"St Helena Bay",980.823124156415,"Bays","NP","EN","marine"
"St Lucia Mid Shelf Mosaic",4.76019267807473,"Mesophotic and sub-photic rocky shelves","WP","LC","marine"
"St Lucia Sandy Inner Shelf",119.956175910939,"Sandy shelves","WP","LC","marine"
"St Lucia Sandy Mid Shelf",646.798293525038,"Sandy shelves","MP","VU","marine"
"Stable Agulhas Current Water",14407.2212832057,"Pelagic ocean waters","WP","LC","marine"
"Stable Indian Ocean Water",59193.7305023398,"Pelagic ocean waters","NP","LC","marine"
"Stable Southeast Atlantic Water",71745.1448397762,"Pelagic ocean waters","NP","LC","marine"
"Trafalgar Reef Complex",58.705205304486,"Photic rocky reefs","PP","EN","marine"
"Transkei Basin Abyss",210710.39744288,"Abyssal plains","NP","LC","marine"
"Upwelled Agulhas Current Margin Water",6831.86742960935,"Pelagic ocean waters","PP","VU","marine"
"Variable Agulhas current core",21217.0919114643,"Pelagic ocean waters","PP","LC","marine"
"Variable Indo-Atlantic Water",125467.44336544,"Pelagic ocean waters","PP","LC","marine"
"Warm Stable Indian Ocean Water",169872.242678316,"Pelagic ocean waters","PP","LC","marine"
"Western Agulhas Bay",819.733594067297,"Bays","PP","EN","marine"
"Western Agulhas Outer Shelf Mosaic",2786.45386084413,"Mesophotic and sub-photic rocky shelves","NP","VU","marine"
"Wild Coast Inner Shelf Mosaic",253.034456812489,"Photic rocky reefs","MP","VU","marine"
"Wild Coast Mid Shelf Mosaic",2385.88902667652,"Mesophotic and sub-photic rocky shelves","MP","LC","marine"
"Wild Coast Shelf Edge Mosaic",1435.23586282032,"Mesophotic and sub-photic rocky shelves","MP","LC","marine"
"uThukela Canyon",417.805734816642,"Canyons","NP","LC","marine"
"uThukela Mid Shelf Mosaic",789.363916237971,"Mesophotic and sub-photic rocky shelves","MP","VU","marine"
"uThukela Mid Shelf Mud Coarse Sediment Mosaic",1348.69885270629,"Muddy shelves","MP","VU","marine"
"uThukela Outer Shelf Muddy Reef Mosaic",531.750297505297,"Muddy shelves","MP","VU","marine"
