"","Estuary name","Estuary type","Threat status"
"37","Duiwenhoks","Warm Temperate Predominantly Open","Vulnerable"
"38","Goukou","Warm Temperate Predominantly Open","Vulnerable"
"39","Gouritz","Warm Temperate Predominantly Open","Vulnerable"
"40","Blinde","Warm Temperate Small Temporarily Closed","Least Concern"
"41","Tweekuilen","Warm Temperate Small Temporarily Closed","Least Concern"
"42","Gericke","Warm Temperate Small Temporarily Closed","Least Concern"
"43","Hartenbos","Warm Temperate Large Temporarily Closed","Vulnerable"
"44","Klein Brak","Warm Temperate Large Temporarily Closed","Vulnerable"
"45","Groot Brak","Warm Temperate Large Temporarily Closed","Vulnerable"
"46","Maalgate","Warm Temperate Large Temporarily Closed","Vulnerable"
"47","Gwaing","Warm Temperate Small Temporarily Closed","Least Concern"
"48","Kaaimans","Warm Temperate Predominantly Open","Vulnerable"
"49","Touw/Wilderness","Warm Temperate Estuarine Lake","Endangered"
"50","Swartvlei","Warm Temperate Estuarine Lake","Endangered"
"51","Goukamma","Warm Temperate Large Temporarily Closed","Vulnerable"
"52","Knysna","Warm Temperate Estuarine Bay","Vulnerable"
"53","Noetsie","Warm Temperate Small Temporarily Closed","Least Concern"
"54","Piesang","Warm Temperate Large Temporarily Closed","Vulnerable"
"55","Keurbooms","Warm Temperate Predominantly Open","Vulnerable"
"56","Matjies","Warm Temperate Small Temporarily Closed","Least Concern"
"57","Sout (Oos)","Warm Temperate Predominantly Open","Vulnerable"
"58","Groot (Wes)","Warm Temperate Small Temporarily Closed","Least Concern"
"59","Bloukrans","Warm Temperate Small Fluvially Dominated","Least Concern"
"60","Lottering","Warm Temperate Small Fluvially Dominated","Least Concern"
"61","Elandsbos","Warm Temperate Small Fluvially Dominated","Least Concern"
"62","Storms","Warm Temperate Small Fluvially Dominated","Least Concern"
"63","Elands","Warm Temperate Small Fluvially Dominated","Least Concern"
"64","Groot (Oos)","Warm Temperate Small Fluvially Dominated","Least Concern"
"65","Tsitsikamma","Warm Temperate Small Temporarily Closed","Least Concern"
"66","Klipdrif (Oos)","Warm Temperate Small Temporarily Closed","Least Concern"
"67","Slang","Warm Temperate Small Temporarily Closed","Least Concern"
"68","Kromme","Warm Temperate Predominantly Open","Vulnerable"
"69","Seekoei","Warm Temperate Large Temporarily Closed","Vulnerable"
"70","Kabeljous","Warm Temperate Large Temporarily Closed","Vulnerable"
"71","Gamtoos","Warm Temperate Predominantly Open","Vulnerable"
"72","Van Stadens","Warm Temperate Large Temporarily Closed","Vulnerable"
"73","Maitland","Warm Temperate Large Temporarily Closed","Vulnerable"
"74","Baakens","Warm Temperate Small Temporarily Closed","Least Concern"
"75","Papkuils","Warm Temperate Small Temporarily Closed","Least Concern"
"76","Swartkops","Warm Temperate Predominantly Open","Vulnerable"
"77","Coega (Ngqurha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"78","Sundays","Warm Temperate Predominantly Open","Vulnerable"
"79","Boknes","Warm Temperate Small Temporarily Closed","Least Concern"
"80","Bushmans","Warm Temperate Predominantly Open","Vulnerable"
"81","Kariega","Warm Temperate Predominantly Open","Vulnerable"
"82","Grant's","Warm Temperate Small Temporarily Closed","Least Concern"
"83","Kasouga","Warm Temperate Large Temporarily Closed","Vulnerable"
"84","Kowie","Warm Temperate Predominantly Open","Vulnerable"
"85","Rufane","Warm Temperate Small Temporarily Closed","Least Concern"
"86","Riet","Warm Temperate Small Temporarily Closed","Least Concern"
"87","West Kleinemonde","Warm Temperate Large Temporarily Closed","Vulnerable"
"88","East Kleinemonde","Warm Temperate Large Temporarily Closed","Vulnerable"
"89","Great Fish","Warm Temperate Predominantly Open","Vulnerable"
"90","Old Woman’s","Warm Temperate Large Temporarily Closed","Vulnerable"
"91","Mpekweni","Warm Temperate Large Temporarily Closed","Vulnerable"
"92","Mtati (Mthathi)","Warm Temperate Large Temporarily Closed","Vulnerable"
"93","Mgwalana","Warm Temperate Large Temporarily Closed","Vulnerable"
"94","Bira (Bhirha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"95","Gqutywa","Warm Temperate Large Temporarily Closed","Vulnerable"
"96","Ngculura (Ngculurha)","Warm Temperate Small Temporarily Closed","Least Concern"
"97","Mtana","Warm Temperate Small Temporarily Closed","Least Concern"
"98","Keiskamma","Warm Temperate Predominantly Open","Vulnerable"
"99","Nqinisa","Warm Temperate Small Temporarily Closed","Least Concern"
"100","Kiwane (Khiwane)","Warm Temperate Large Temporarily Closed","Vulnerable"
"101","Tyolomnqa","Warm Temperate Large Temporarily Closed","Vulnerable"
"102","Shelbertsstroom","Warm Temperate Small Temporarily Closed","Least Concern"
"103","Lilyvale","Warm Temperate Small Temporarily Closed","Least Concern"
"104","Ross' Creek","Warm Temperate Small Temporarily Closed","Least Concern"
"105","Ncera (Ncerha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"106","Mlele","Warm Temperate Small Temporarily Closed","Least Concern"
"107","Mcantsi","Warm Temperate Small Temporarily Closed","Least Concern"
"108","Gxulu","Warm Temperate Large Temporarily Closed","Vulnerable"
"109","Goda","Warm Temperate Large Temporarily Closed","Vulnerable"
"110","Hlozi","Warm Temperate Small Temporarily Closed","Least Concern"
"111","Hickman's","Warm Temperate Small Temporarily Closed","Least Concern"
"112","Buffalo","Warm Temperate Predominantly Open","Vulnerable"
"113","Blind","Warm Temperate Small Temporarily Closed","Least Concern"
"114","Hlaze (iHlanze)","Warm Temperate Small Temporarily Closed","Least Concern"
"115","Nahoon","Warm Temperate Predominantly Open","Vulnerable"
"116","Qinira (Quinirha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"117","Gqunube","Warm Temperate Predominantly Open","Vulnerable"
"118","Kwelera (Kwelerha)","Warm Temperate Predominantly Open","Vulnerable"
"119","Bulura (Bulurha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"120","Cunge","Warm Temperate Small Temporarily Closed","Least Concern"
"121","Cintsa","Warm Temperate Large Temporarily Closed","Vulnerable"
"122","Cefane","Warm Temperate Large Temporarily Closed","Vulnerable"
"123","Kwenxura (Kwenxurha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"124","Nyara (Nyarha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"125","Imtwendwe (Mtwendwe)","Warm Temperate Small Temporarily Closed","Least Concern"
"126","Haga-haga","Warm Temperate Small Temporarily Closed","Least Concern"
"127","Mtendwe","Warm Temperate Small Temporarily Closed","Least Concern"
"128","Quko","Warm Temperate Large Temporarily Closed","Vulnerable"
"129","Morgan","Warm Temperate Large Temporarily Closed","Vulnerable"
"130","Cwili","Warm Temperate Small Temporarily Closed","Least Concern"
"131","Great Kei","Warm Temperate Large Fluvially Dominated","Vulnerable"
"132","Gxara (Gxarha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"133","Ngogwane","Warm Temperate Small Temporarily Closed","Least Concern"
"134","Qolora (Qolorha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"135","Ncizele","Warm Temperate Small Temporarily Closed","Least Concern"
"136","Timba","Warm Temperate Small Temporarily Closed","Least Concern"
"137","Kobonqaba (Khobonqaba)","Warm Temperate Predominantly Open","Vulnerable"
"138","Nxaxo/Ngqusi","Warm Temperate Large Temporarily Closed","Vulnerable"
"139","Cebe","Warm Temperate Large Temporarily Closed","Vulnerable"
"140","Gqunqe","Warm Temperate Large Temporarily Closed","Vulnerable"
"141","Zalu","Warm Temperate Small Temporarily Closed","Least Concern"
"142","Ngqwara (Ngqwarha)","Warm Temperate Large Temporarily Closed","Vulnerable"
"143","Sihlontlweni","Warm Temperate Small Temporarily Closed","Least Concern"
"144","Nebelele","Warm Temperate Small Temporarily Closed","Least Concern"
"145","Qora (Qhorha)","Warm Temperate Predominantly Open","Vulnerable"
"146","Jujura (Jujurha)","Warm Temperate Small Temporarily Closed","Least Concern"
"147","Ngadla","Warm Temperate Small Temporarily Closed","Least Concern"
"148","Shixini","Warm Temperate Predominantly Open","Vulnerable"
"149","Beechamwood","Warm Temperate Small Temporarily Closed","Least Concern"
"150","Kwazlelitsha (Kwazwedala)","Warm Temperate Small Temporarily Closed","Least Concern"
"151","Kwa-Goqo","Warm Temperate Small Temporarily Closed","Least Concern"
"152","Ku-Nocekedwa","Warm Temperate Small Temporarily Closed","Least Concern"
"153","Nqabara/Nqabarana","Warm Temperate Predominantly Open","Vulnerable"
"154","Ngomane (East)","Warm Temperate Small Temporarily Closed","Least Concern"
"155","Ngoma/Kobule","Warm Temperate Small Temporarily Closed","Least Concern"
"156","Mendu","Warm Temperate Large Temporarily Closed","Vulnerable"
"157","Mendwana","Warm Temperate Predominantly Open","Vulnerable"
"158","Mbashe","Subtropical Large Fluvially Dominated","Endangered"
"159","Ku-Mpenzu","Subtropical Small Temporarily Closed","Vulnerable"
"160","Ku-Bhula (Mbhanyana)","Subtropical Small Temporarily Closed","Vulnerable"
"161","Kwa-Suku","Subtropical Large Temporarily Closed","Vulnerable"
"162","Ntlonyane","Subtropical Large Temporarily Closed","Vulnerable"
"163","Nkanya","Subtropical Large Temporarily Closed","Vulnerable"
"164","Sundwana","Subtropical Small Temporarily Closed","Vulnerable"
"165","Xora","Subtropical Predominantly Open","Vulnerable"
"166","Bulungula","Subtropical Large Temporarily Closed","Vulnerable"
"167","Ku-Amanzimuzama","Subtropical Small Temporarily Closed","Vulnerable"
"168","Nqakanqa","Subtropical Small Temporarily Closed","Vulnerable"
"169","Mdikana","Subtropical Small Temporarily Closed","Vulnerable"
"170","Mncwasa","Subtropical Large Temporarily Closed","Vulnerable"
"171","Mpako","Subtropical Small Temporarily Closed","Vulnerable"
"172","Nenga","Subtropical Small Temporarily Closed","Vulnerable"
"173","Mapuzi","Subtropical Large Temporarily Closed","Vulnerable"
"174","Mtata","Subtropical Predominantly Open","Vulnerable"
"175","Thsani","Subtropical Small Temporarily Closed","Vulnerable"
"176","Mdumbi","Subtropical Predominantly Open","Vulnerable"
"177","Lwandilana","Subtropical Small Temporarily Closed","Vulnerable"
"178","Lwandile","Subtropical Large Temporarily Closed","Vulnerable"
"179","Mtakatye","Subtropical Predominantly Open","Vulnerable"
"180","Hluleka","Subtropical Small Temporarily Closed","Vulnerable"
"181","Mnenu","Subtropical Large Temporarily Closed","Vulnerable"
"182","Mtonga","Subtropical Large Temporarily Closed","Vulnerable"
"183","Mpande","Subtropical Large Temporarily Closed","Vulnerable"
"184","Sinangwana","Subtropical Small Temporarily Closed","Vulnerable"
"185","Mngazana","Subtropical Predominantly Open","Vulnerable"
"186","Mngazi","Subtropical Large Temporarily Closed","Vulnerable"
"187","Gxwaleni","Subtropical Small Temporarily Closed","Vulnerable"
"188","Bulolo","Subtropical Small Temporarily Closed","Vulnerable"
"189","Mtumbane","Subtropical Small Temporarily Closed","Vulnerable"
"190","Mzimvubu","Subtropical Large Fluvially Dominated","Endangered"
"191","Ntlupeni","Subtropical Small Temporarily Closed","Vulnerable"
"192","Nkodusweni","Subtropical Large Temporarily Closed","Vulnerable"
"193","Mntafufu","Subtropical Predominantly Open","Vulnerable"
"194","Ingo","Subtropical Small Temporarily Closed","Vulnerable"
"195","Mzintlava","Subtropical Predominantly Open","Vulnerable"
"196","Mzimpunzi","Subtropical Small Temporarily Closed","Vulnerable"
"197","Kwanyambalala","Subtropical Small Temporarily Closed","Vulnerable"
"198","Mbotyi","Subtropical Small Temporarily Closed","Vulnerable"
"199","Mkozi","Subtropical Small Temporarily Closed","Vulnerable"
"200","Sikatsha","Subtropical Small Temporarily Closed","Vulnerable"
"201","Lupatana","Subtropical Small Temporarily Closed","Vulnerable"
"202","Mkweni","Subtropical Small Temporarily Closed","Vulnerable"
"203","Msikaba","Subtropical Predominantly Open","Vulnerable"
"204","Mgwegwe","Subtropical Small Temporarily Closed","Vulnerable"
"205","Mgwetyana","Subtropical Small Temporarily Closed","Vulnerable"
"206","Mtentu","Subtropical Predominantly Open","Vulnerable"
"207","Sikombe","Subtropical Small Temporarily Closed","Vulnerable"
"208","Kwanyana","Subtropical Small Temporarily Closed","Vulnerable"
"209","Mtolane","Subtropical Small Temporarily Closed","Vulnerable"
"210","Mnyameni","Subtropical Large Temporarily Closed","Vulnerable"
"211","Mpahlanyana","Subtropical Small Temporarily Closed","Vulnerable"
"212","Mpahlane","Subtropical Small Temporarily Closed","Vulnerable"
"213","Mzamba","Subtropical Predominantly Open","Vulnerable"
"214","Mtentwana","Subtropical Small Temporarily Closed","Vulnerable"
"215","uMthavuna","Subtropical Large Temporarily Closed","Vulnerable"
"216","iSolwane","Subtropical Small Temporarily Closed","Vulnerable"
"217","iSandlu","Subtropical Small Temporarily Closed","Vulnerable"
"218","uMbhoyibhoyi","Subtropical Small Temporarily Closed","Vulnerable"
"219","uMuntongazi","Subtropical Small Temporarily Closed","Vulnerable"
"220","iKhandalendlovu","Subtropical Small Temporarily Closed","Vulnerable"
"221","iMpenjani","Subtropical Large Temporarily Closed","Vulnerable"
"222","uMhlangomkhulu (South) (Umhlangankulu)","Subtropical Large Temporarily Closed","Vulnerable"
"223","iKhaba","Subtropical Small Temporarily Closed","Vulnerable"
"224","iMbizana","Subtropical Large Temporarily Closed","Vulnerable"
"225","iMvutshini","Subtropical Small Temporarily Closed","Vulnerable"
"226","iBilanhlonhlo","Subtropical Small Temporarily Closed","Vulnerable"
"227","uVuzana","Subtropical Small Temporarily Closed","Vulnerable"
"228","iKongeni","Subtropical Small Temporarily Closed","Vulnerable"
"229","uVunguza","Subtropical Small Temporarily Closed","Vulnerable"
"230","oHlangeni","Subtropical Large Temporarily Closed","Vulnerable"
"231","iZotsha","Subtropical Large Temporarily Closed","Vulnerable"
"232","iBhobhoyi","Subtropical Small Temporarily Closed","Vulnerable"
"233","uMbango","Subtropical Small Temporarily Closed","Vulnerable"
"234","uMzimkhulu","Subtropical Predominantly Open","Vulnerable"
"235","uMthente","Subtropical Large Temporarily Closed","Vulnerable"
"236","uMhlangomkhulu (North) (Mhlangamkulu)","Subtropical Large Temporarily Closed","Vulnerable"
"237","iDombe","Subtropical Large Temporarily Closed","Vulnerable"
"238","iKhoshwana","Subtropical Large Temporarily Closed","Vulnerable"
"239","iNjambili","Subtropical Small Temporarily Closed","Vulnerable"
"240","uMzumbe","Subtropical Large Temporarily Closed","Vulnerable"
"241","uMhlabashana","Subtropical Large Temporarily Closed","Vulnerable"
"242","uMhlungwa","Subtropical Large Temporarily Closed","Vulnerable"
"243","uMfazezala","Subtropical Large Temporarily Closed","Vulnerable"
"244","uMakhosi","Subtropical Small Temporarily Closed","Vulnerable"
"245","uMnamfu","Subtropical Small Temporarily Closed","Vulnerable"
"246","uMthwalume","Subtropical Large Temporarily Closed","Vulnerable"
"247","uMvuzi","Subtropical Large Temporarily Closed","Vulnerable"
"248","iFafa","Subtropical Large Temporarily Closed","Vulnerable"
"249","uMdesingane","Subtropical Small Temporarily Closed","Vulnerable"
"250","iSezela","Subtropical Large Temporarily Closed","Vulnerable"
"251","uMkhumbane","Subtropical Small Temporarily Closed","Vulnerable"
"252","iNkomba","Subtropical Small Temporarily Closed","Vulnerable"
"253","uMuziwezinto","Subtropical Large Temporarily Closed","Vulnerable"
"254","uMzimayi","Subtropical Small Temporarily Closed","Vulnerable"
"255","Rocky Bay","Subtropical Small Temporarily Closed","Vulnerable"
"256","uMphambanyoni","Subtropical Small Temporarily Closed","Vulnerable"
"257","aMahlongwa","Subtropical Small Temporarily Closed","Vulnerable"
"258","uMahlongwane","Subtropical Large Temporarily Closed","Vulnerable"
"259","uMkhomazi","Subtropical Predominantly Open","Vulnerable"
"260","iNgane","Subtropical Small Temporarily Closed","Vulnerable"
"261","uMgababa","Subtropical Large Temporarily Closed","Vulnerable"
"262","uMsimbazi","Subtropical Large Temporarily Closed","Vulnerable"
"263","iLovu","Subtropical Large Temporarily Closed","Vulnerable"
"264","aManzanamtoti","Subtropical Small Temporarily Closed","Vulnerable"
"265","aManzimtoti","Subtropical Large Temporarily Closed","Vulnerable"
"266","iZimbokodo","Subtropical Large Temporarily Closed","Vulnerable"
"267","iSiphingo","Subtropical Predominantly Open","Vulnerable"
"268","Durban Bay","Subtropical Estuarine Bay","Critically Endangered"
"269","uMngeni","Subtropical Predominantly Open","Vulnerable"
"270","uMhlanga","Subtropical Large Temporarily Closed","Vulnerable"
"271","uMdloti","Subtropical Large Temporarily Closed","Vulnerable"
"272","uThongathi","Subtropical Large Temporarily Closed","Vulnerable"
"273","uMhlali","Subtropical Large Temporarily Closed","Vulnerable"
"274","Bob’s Stream","Subtropical Small Temporarily Closed","Vulnerable"
"275","uSetheni","Subtropical Small Temporarily Closed","Vulnerable"
"276","uMvoti","Subtropical Large Fluvially Dominated","Endangered"
"277","uMdlotane","Subtropical Large Temporarily Closed","Vulnerable"
"278","iNonoti","Subtropical Large Temporarily Closed","Vulnerable"
"279","iZinkwazi","Subtropical Large Temporarily Closed","Vulnerable"
"280","uThukela","Subtropical Large Fluvially Dominated","Endangered"
"281","aMatigulu/iNyoni","Subtropical Predominantly Open","Vulnerable"
"282","iSiyaya","Subtropical Small Temporarily Closed","Vulnerable"
"283","uMlalazi","Subtropical Predominantly Open","Vulnerable"
"284","uMhlathuze","Subtropical Estuarine Lake","Endangered"
"285","Richards Bay","Subtropical Estuarine Lake","Endangered"
"286","iNhlabane","Subtropical Estuarine Lake","Endangered"
"287","iMfolozi/uMsunduze","Subtropical Large Fluvially Dominated","Endangered"
"288","St Lucia","Subtropical Estuarine Lake","Endangered"
"289","uMgobezeleni","Tropical Estuarine Lake","Vulnerable"
"290","Kosi","Tropical Estuarine Lake","Vulnerable"
